length,hla,hla_site,cdr_pos,pvalue,adj_p_value
12,A,-11,107,0.9693808770856196,0.9831076857633636
12,A,-11,108,0.09235729457853557,0.161199989159128
12,A,-11,109,0.07814545470783832,0.14009860798972817
12,A,-11,113,0.07726879460771457,0.13889338781669322
12,A,-11,114,0.5614387378965264,0.6675351330572391
12,A,-11,115,0.07661016868469375,0.13792305651409162
12,A,-11,116,0.35065452535777075,0.46872829270067623
12,A,-15,107,0.6027125828771187,0.7027820934565155
12,A,-15,108,0.13180045173940674,0.21648158150335292
12,A,-15,109,0.0027028663202946566,0.006977562609656146
12,A,-15,113,0.003645983613279599,0.009179206891918456
12,A,-15,114,0.7711994069268571,0.8398395605277816
12,A,-15,115,0.34253940819271195,0.4603988765075721
12,A,-15,116,0.8135023675455736,0.8717661343110885
12,A,-2,107,0.6056919740722091,0.7051485755667115
12,A,-2,108,0.035608117028954514,0.07102249000763694
12,A,-2,109,0.08912256598986701,0.15641499858353983
12,A,-2,113,0.8817149459879778,0.9236887416419141
12,A,-2,114,0.7552998980473714,0.8270036877811976
12,A,-2,115,0.06536462899083703,0.1207038220775979
12,A,-2,116,0.246645564292689,0.35668546178013577
12,A,-20,107,0.8983886976729445,0.9350384457997697
12,A,-20,108,0.025870731600613546,0.05348460836992382
12,A,-20,109,0.09513995741725019,0.16536273090302517
12,A,-20,113,0.2594616961979984,0.37193062204657484
12,A,-20,114,0.575161157312513,0.6795008838404976
12,A,-20,115,0.2690064359357354,0.3827329281240599
12,A,-20,116,0.9019562729043751,0.9374557643393355
12,A,-22,107,0.5982605294521328,0.6986435155525179
12,A,-22,108,0.2047190654246339,0.30893040638773156
12,A,-22,109,0.17495981631779484,0.27325823985950015
12,A,-22,113,0.4803067768950082,0.5964230167719259
12,A,-22,114,0.506160891542158,0.6189002606260489
12,A,-22,115,0.009254016253593572,0.02147400406672638
12,A,-22,116,0.44290196039542,0.5611810358657633
12,A,102,107,0.7511228475067637,0.8236748221498243
12,A,102,108,0.2966845273712215,0.4124524389820312
12,A,102,109,0.5958181638963724,0.6967258781176467
